KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
E5,Anteil Schüler_innen nicht deutscher Herkunftssprache an den Schüler_innen der öffentlichen Grundschulen (%),966,35.6,10.1,40.1,42.2
E6,Anteil Schüler_innen mit Lernmittelkostenbefreiung an den Schüler_innen der öffentlichen Grundschulen (%),918,33.8,4,36.8,38.7
