LOR-ID,Name,Anschrift,PLZ / Ort,Träger
07070701,Nachbarschafts- und Selbsthilfezentrum (NUSZ) ,Barnetstr. 11,12305 Berlin,Nachbarschafts- und Selbsthilfe Zentrum (NUSZ) in der ufafabrik
07070701,Familienzentrum Lichtenrade,Lichtenrader Damm 198-212,12305 Berlin,Nachbarschafts- und Selbsthilfe Zentrum (NUSZ) in der ufafabrik
