KID,Beschreibung,abs.,Indikatorwert,t-5,Bezirk,Berlin
A1,Anteil der EW in einfacher Wohnlage (%),17412,34.7,-1.3,29.6,40.4
A2,Anteil der EW in mittlerer Wohnlage (%),32746,65.3,1.3,47.7,43.2
A3,Anteil der EW in guter Wohnlage (%),–,–,-,22.6,16.3
C1,Anteil der EW mit mindestens 5 Jahren Wohndauer an derselben Adresse (%),33455,69.4,2,64.3,61.9
