Räumliche Ebene,GdB 20 - 100,GdB 50 - 100,Merkzeichen „G“,Merkzeichen „aG“,Merkzeichen „B“,Merkzeichen „H“
07070701,2220,1453,563,93,291,119
07070702,2209,1429,545,124,297,118
07070703,1966,1308,557,101,292,118
07070704,1736,1107,453,71,235,82
07070705,1258,839,325,58,191,95
07070706,811,566,273,54,173,60
07070707,580,365,135,31,68,34
070707,10780,7067,2851,532,1547,669
