LOR-ID,Name,Straße,Anzahl der Parzellen,Fläche in m²,Landeseigentum
07070701,Güteraußenring,Fontane/Schillerstr.,122,37078,Nein
07070701,Wiesengrund,Lichtenrader Damm 130,40,12290,Ja
07070705,Hilbertstraße,hinter Hilbertstr.19-28,19,6696,Nein
07070705,Wünsdorfer Str.,Wünsdorfer Str.41-97,32,10338,Nein
07070707,Märkische Heide,Kirchhainer Damm 67-69,51,29712,Ja
