name,wert
A4,15.2
A5,0.6
A6,64.6
A7,5.8
A8,2349
B1,14.9
B2,20.7
C1,64.3
C2,1.6
C3,2.3
D1,48.3
D2,7.4
D3,4
D4,18.8
D5,30
D6,6.9
E1,19.7
E2,14.3
E3,10.4
E5,50.1
E6,36.8
E8,3.5
