name,wert
A4,2.5
A5,0.5
A6,63.8
A7,8.7
A8,4242
B1,14
B2,15.8
C1,61.2
C2,1.9
C3,1.4
D1,41.7
D2,8.1
D3,4.7
D4,21.3
D5,35.4
D6,17.1
E1,27.9
E2,13
E3,12.7
E5,74.6
E6,44.8
E8,3
