LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Veränderung gegenüber 2012 in %,Quote in % 2017,Anteil in % 2016,Anteil in % 2012
10020620,Kaulsdorf Nord II,27,0,"17,4",5.8,6.2,6.4
10020621,Gelbes Viertel,55,"-3,5","44,7",9.1,9.5,7.2
10020622,Kaulsdorf Nord I,60,17.6,5.3,2.7,2.4,3
10020623,Rotes Viertel,46,-2.1,-13.2,2.9,3.1,3.7
100206,Hellersdorf-Süd,188,3.3,"9,9",3.9,3.9,4.1
10,Marzahn-Hellersdorf,1862,11.5,40.3,3.7,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,5.7,k.A.,k.A.
