LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Veränderung gegenüber 2012 in %,Quote in % 2017,Anteil in % 2016,Anteil in % 2012
100206,Hellersdorf-Süd,513,"4,3","30,2",45.9,46,41.4
10,Marzahn-Hellersdorf,5558,"0,4","23,2",43,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,39.1,k.A.,k.A.
