LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung Anzahl zu 2016,Veränderung Anzahl zu 2012,Quote in % 2017,Quote in % 2016,Quote in % 2012
10020620,Kaulsdorf Nord II,2146,"6,5",19.6,67.2,64.4,57.2
10020621,Gelbes Viertel,3443,"9,2",24.8,60.3,56.1,50.5
10020622,Kaulsdorf Nord I,5794,"0,4",10.8,69.9,70,62.7
10020623,Rotes Viertel,4629,"1,3",11.4,73.9,73.2,65.5
100206,Hellersdorf-Süd,16012,"3,3",14.9,68.3,66.8,59.9
10,Marzahn-Hellersdorf,171521,"2,7",11.9,67.9,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,63.1,k.A.,k.A.
