LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Quote in % 2017,Quote in % 2016
10020620,Kaulsdorf Nord II,607,"-1,5",20.9,21.5
10020621,Gelbes Viertel,1766,"9,0",31.5,29.6
10020622,Kaulsdorf Nord I,1040,"-8,9",16.1,17.6
10020623,Rotes Viertel,768,"-4,8",15.5,16.2
100206,Hellersdorf-Süd,4181,"-0,1",21,21.1
10,Marzahn-Hellersdorf,43276,"-4,2",20.1,k.A.
,Berlin,k.A.,k.A.,18,k.A.
