LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10020620,Kaulsdorf Nord II,467,13.8,30,"6,9",114,"32,3"
10020621,Gelbes Viertel,612,9.8,5,"0,8",66,"12,1"
10020622,Kaulsdorf Nord I,2207,25.5,75,"3,5",324,"17,2"
10020623,Rotes Viertel,1574,24.1,39,"2,5",125,"8,6"
100206,Hellersdorf-Süd,4680,19.6,149,"3,2",629,"14,9"
10,Marzahn-Hellersdorf,51771,19.4,1875,"4,3",8095,"21,5"
,Berlin,k.A.,19.1,k.A.,k.A.,k.A.,k.A.
