LOR-Nummer,LOR-Name,Stand 2017,Veränderung zu 2016 absolut,Veränderung zu 2016 in %,Veränderung zu 2012 absolut,Veränderung zu 2012 in %
10020620,Kaulsdorf Nord II,3376,77,2.3,75,2.3
10020621,Gelbes Viertel,6224,153,2.5,397,6.8
10020622,Kaulsdorf Nord I,8668,37,0.4,-60,-0.7
10020623,Rotes Viertel,6538,11,0.2,-74,-1.1
100206,Hellersdorf-Süd,24806,278,1.1,338,1.4
10,Marzahn-Hellersdorf,266684,4669,1.8,14805,5.9
,Berlin,3711930,41308,1.1,242309,7
