LOR-Nummer,LOR-Name,Anzahl 2015-2017,Veränderung zu 2014-2016 in %,Veränderung zu 2010-2012 in %,Quote in % 2015-2017,Anteil in % 2014-2016,Anteil in % 2010-2012
100206,Hellersdorf-Süd,212,"8,2","79,7",33,32.5,22.7
10,Marzahn-Hellersdorf,2189,"5,5","67,1",31,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,27.5,k.A.,k.A.
