LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung Anzahl zu 2016,Veränderung Anzahl zu 2012,Quote in % 2017,Quote in % 2016,Quote in % 2012
10020620,Kaulsdorf Nord II,0,0,0,0,0,0
10020621,Gelbes Viertel,0,0,0,0,0,0
10020622,Kaulsdorf Nord I,0,0,0,0,0,0
10020623,Rotes Viertel,0,0,0,0,0,0
100206,Hellersdorf-Süd,0,0,0,0,0,0
10,Marzahn-Hellersdorf,52,37,34,0.4,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,8.6,k.A.,k.A.
