LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Quote in % 2017,Quote in % 2016
10020620,Kaulsdorf Nord II,169,"5,6",42.6,43.7
10020621,Gelbes Viertel,575,"12,1",48,46.1
10020622,Kaulsdorf Nord I,306,"-3,5",29.7,31.5
10020623,Rotes Viertel,199,"4,2",26.2,25.6
100206,Hellersdorf-Süd,1249,"5,7",36.9,36.5
10,Marzahn-Hellersdorf,13377,"-1,4",34,k.A.
,Berlin,k.A.,k.A.,29.6,k.A.
