LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung Anzahl in % zu 2016,Veränderung Anzahl in % zu 2012,Quote in % 2017,Quote in % 2016,Quote in % 2012
10020620,Kaulsdorf Nord II,1704,"1,7",9.5,67.8,67.1,"59,0"
10020621,Gelbes Viertel,2724,"1,4",8.9,61.7,61.7,"57,0"
10020622,Kaulsdorf Nord I,3644,"0,9",2,67.1,65.7,"61,5"
10020623,Rotes Viertel,2790,1,1,66.4,65.1,"61,5"
100206,Hellersdorf-Süd,10862,"1,2",4.5,65.6,64.7,"60,0"
10,Marzahn-Hellersdorf,107487,"1,9",9.4,61.2,60.4,"58,4"
,Berlin,k.A.,k.A.,k.A.,52.8,k.A.,k.A.
