LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10020620,Kaulsdorf Nord II,2463,73,18,"0,7",-133,"-5,1"
10020621,Gelbes Viertel,4250,68.3,55,"1,3",-3,"-0,1"
10020622,Kaulsdorf Nord I,5255,60.6,-81,"-1,5",-437,"-7,7"
10020623,Rotes Viertel,4090,62.6,-26,"-0,6",-286,"-6,5"
100206,Hellersdorf-Süd,16058,64.7,-34,"-0,2",-859,"-5,1"
10,Marzahn-Hellersdorf,169162,63.4,444,"0,3",-2070,"-1,4"
,Berlin,k.A.,65.1,k.A.,k.A.,k.A.,k.A.
