LOR-Nummer,LOR-Name,Anzahl 2015-2017,Veränderung zu 2014-2016 in %,Veränderung zu 2010-2012 in %,Quote in % 2015-2017,Anteil in % 2014-2016,Anteil in % 2010-2012
100206,Hellersdorf-Süd,65,"6,6","10,2",10.1,10.1,11
10,Marzahn-Hellersdorf,700,"5,7","22,2",9.8,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,9.5,k.A.,k.A.
