LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016
10020620,Kaulsdorf Nord II,528,15.6,99,"23,1"
10020621,Gelbes Viertel,1041,16.7,206,"24,7"
10020622,Kaulsdorf Nord I,1086,12.5,110,"11,3"
10020623,Rotes Viertel,687,10.5,45,"7,0"
100206,Hellersdorf-Süd,3342,13.5,460,"16,0"
10,Marzahn-Hellersdorf,47891,18,5425,"12,8"
,Berlin,1207052,32.5,k.A.,k.A.
