LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Veränderung gegenüber 2012 in %,Quote in % 2017,Anteil in % 2016,Anteil in % 2012
100206,Hellersdorf-Süd,186,"8,8","18,5",16.6,16,16.5
10,Marzahn-Hellersdorf,3212,"13,5","60,3",24.9,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,45.5,k.A.,k.A.
