LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10020620,Kaulsdorf Nord II,253,7.5,68,"36,8",86,"51,1"
10020621,Gelbes Viertel,632,10.2,184,"41,1",395,"166,7"
10020622,Kaulsdorf Nord I,509,5.9,84,"9,8",168,"49,3"
10020623,Rotes Viertel,275,4.2,41,"17,5",126,"84,6"
100206,Hellersdorf-Süd,1669,6.7,377,"29,2",775,"86,7"
10,Marzahn-Hellersdorf,26257,9.8,4582,"39,8",14738,"127,9"
,Berlin,711282,19.2,k.A.,k.A.,,
