name,wert
A4,3.2
A5,0.5
A6,67.3
A7,5.4
A8,1398
B1,15.9
B2,27.2
C1,69.4
C2,1.3
C3,6.3
D1,50.5
D2,6.6
D3,3.8
D4,16.8
D5,27.1
D6,3.4
E1,15.9
E2,17.5
E3,8.2
E5,35.6
E6,33.8
E8,3.2
