name,wert
A4,48.4
A5,0.6
A6,60.5
A7,4.7
A8,2619
B1,14.9
B2,19.5
C1,62.1
C2,2.3
C3,2.6
D1,49.6
D2,8.4
D3,4.6
D4,21.9
D5,35.1
D6,6.6
E1,20.4
E2,19.5
E3,10
E5,54.9
E6,42.6
E8,3.7
