name,wert
A4,5.9
A5,0.5
A6,66.9
A7,6.5
A8,1517
B1,15.9
B2,17.8
C1,65.8
C2,0.6
C3,0.7
D1,49.6
D2,5.2
D3,2.1
D4,11.5
D5,16.2
D6,5.3
E1,12.5
E2,8
E3,8.8
E5,27.4
E6,11
E8,2.7
