name,wert
A4,5.5
A5,0.7
A6,62.8
A7,6.6
A8,2730
B1,14
B2,14.3
C1,60.7
C2,1.8
C3,1
D1,46.2
D2,7.2
D3,3.8
D4,16.5
D5,25.4
D6,9.6
E1,19.6
E2,9.9
E3,10.1
E5,54.2
E6,37.6
E8,2.6
