LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung der Anzahl zu 2016 in %,Veränderung der Anzahl zu 2012 in %,Quote in % 2017,Quote in % 2016,Quote in % 2012
10010308,Marzahner Chaussee,26,225,333.3,12.9,4.1,4.3
10010309,Springpfuhl,35,0,-57.3,3.3,3.5,6.6
10010310,Alt-Marzahn,49,"4,3",46.7,3.5,3.7,6.6
10010311,Landsberger Tor,3,k.A.,-70,1.5,k.A.,4.8
100103,Marzahn-Süd,113,"25,6",-40.5,4,3.4,6.4
10,Marzahn-Hellersdorf,820,"-8,0",-57.4,3.8,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,3.8,k.A.,k.A.
