LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10010308,Marzahner Chaussee,1456,64.1,-84,"+5,5",+345,"+31,1"
10010309,Springpfuhl,8173,56.8,-148,"-1,8",-740,"-8,3"
10010310,Alt-Marzahn,10605,58.1,+100,"+1,0",-631,"-5,6"
10010311,Landsberger Tor,1843,56.4,+150,"+8,9",+94,"+5,4"
100103,Marzahn-Süd,22077,57.8,+18,"+0,1",-932,"-4,1"
10,Marzahn-Hellersdorf,169162,63.4,+444,"+0,3",-2070,"-,4"
,Berlin,k.A.,65.1,k.A.,k.A.,k.A.,k.A.
