LOR-Nummer,LOR-Name,Stand 2017,Durchschnittsalter 2016 ,Veränderung in Jahren für 2016,Durchschnittsalter 2012,Veränderung in Jahren für 2012
10010308,Marzahner Chaussee,43.8,43.7,0.1,48.1,-4.3
10010309,Springpfuhl,47.9,47.9,0,47.0,0.9
10010310,Alt-Marzahn,46.2,46.4,-0.2,46.2,0
10010311,Landsberger Tor,47.1,47.6,-0.5,-46.1,1.0
100103,Marzahn-Süd,46.8,46.9,-0.1,46.6,0.2
10,Marzahn-Hellersdorf,43.5,43.6,-0.1,42.9,0.6
,Berlin,42.7,42.7,0,42.8,-0.1
