LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10010308,Marzahner Chaussee,633,19,-66,"-13,3",304,"239,4"
10010309,Springpfuhl,2948,8.4,124,"11,4",380,"45,6"
10010310,Alt-Marzahn,3813,10.3,570,"43,3",1102,"140,6"
10010311,Landsberger Tor,414,4.4,56,"64,4",63,"78,8"
100103,Marzahn-Süd,3673,9.6,684,"22,9",1849,"101,4"
10,Marzahn-Hellersdorf,26257,9.8,4582,"39,8",14738,"127,9"
,Berlin,711282,19.2,k.A.,k.A.,k.A.,k.A.
