LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Quote in % 2017,Quote in % 2016
10010308,Marzahner Chaussee,29,"-3,3",8.3,8.7
10010309,Springpfuhl,331,"-6,2",16.9,18.5
10010310,Alt-Marzahn,515,"-6,9",18.5,20.3
10010311,Landsberger Tor,48,"9,1",8.9,9.7
100103,Marzahn-Süd,923,"-5,2",16.4,18
10,Marzahn-Hellersdorf,8702,"-3,2",19,k.A.
,Berlin,k.A.,k.A.,13,k.A.
