LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung der Anzahl zu 2016 in %,Veränderung der Anzahl zu 2012 in %,Quote in % 2017,Quote in % 2016,Quote in % 2012
10010308,Marzahner Chaussee,3,"-40,0",-50,0.7,1.1,1.5
10010309,Springpfuhl,125,"10,6",38.9,2.9,2.7,2.5
10010310,Alt-Marzahn,119,"11,2",41.7,2.4,2.3,2.2
10010311,Landsberger Tor,23,"27,8",35.3,2.7,2.3,2.2
100103,Marzahn-Süd,270,"11,1",37.1,2.6,2.4,2.3
10,Marzahn-Hellersdorf,1862,"11,5",40.3,3.7,3.3,3
,Berlin,k.A.,k.A.,k.A.,5.7,k.A.,k.A.
