label,ylabel,xlabel,0 bis unter 18 Jahre,18 bis unter 65 Jahre,65 Jahre und mer
Marzahn Süd,Anteil in %,Kitas,15,57,28
Marzahn-Hellersdorf,,,17,64,19
Berlin,,,16,65,19
