LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10010308,Marzahner Chaussee,351,15.5,+7,+2,+183,"+108,9"
10010309,Springpfuhl,1953,13.6,+43,"+2,3",+171,"+9,6"
10010310,Alt-Marzahn,2780,15.2,+90,"+3,3",+467,"+20,2"
10010311,Landsberger Tor,538,16.5,+85,"+18,8",+92,"+20,6"
100103,Marzahn-Süd,5622,14.7,+225,"+4,2",+913,"+19,4"
10,Marzahn-Hellersdorf,45751,17.1,+1779,"+4,1",+7260,"+21,3"
,Berlin,k.A.,15.8,k.A.,k.A.,k.A.,k.A.
