LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung der Anzahl zu 2016 in %,Veränderung der Anzahl zu 2012 in %,Quote in % 2017,Quote in % 2016,Quote in % 2012
100103,Marzahn-Süd,1662,"4,2",21.6,68.5,68.9,62.5
10,Marzahn-Hellersdorf,12794,"2,6",22.8,65,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,63.4,k.A.,k.A.
