LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung der Anzahl zu 2016 in %,Veränderung der Anzahl zu 2012 in %,Quote in % 2017,Quote in % 2016,Quote in % 2012
100103,Marzahn-Süd,648,"17,8",40,39.1,35.4,34.1
10,Marzahn-Hellersdorf,3212,"13,5",60.3,24.9,k.A.,k.A.
,Berlin,k.A.,k.A.,k.A.,45.5,k.A.,k.A.
