label,ylabel,xlabel,0 bis unter 18 Jahre,18 bis unter 65 Jahre,65 Jahre und mer
Marzahner Chausse,Anteil in %,Kitas,16,64,20
Springpfuhl,,,14,56,30
Alt-Marzahn,,,15,58,27
Landsberger Tor,,,17,56,27
