LOR-Nummer,LOR-Name,Anzahl 2017,Veränderung gegenüber 2016 in %,Quote in % 2017,Quote in % 2016
10010308,Marzahner Chaussee,36,"-14,3",12.1,14.5
10010309,Springpfuhl,611,"-1,9",36.6,38.1
10010310,Alt-Marzahn,775,"-6,5",32.7,36.1
10010311,Landsberger Tor,79,"21,5",17.1,16.1
100103,Marzahn-Süd,1501,"-3,7",31.3,33.7
10,Marzahn-Hellersdorf,13377,"-1,4",34,k.A.
,Berlin,,,,
