LOR-Nummer,LOR-Name,Anzahl 2017,Anteil 2017 in %,Veränderung Anzahl zu 2016,Veränderung in % zu 2016,Veränderung Anzahl zu 2012,Veränderung in % zu 2012
10010308,Marzahner Chaussee,463,20.4,18,"4,0",49,11.8
10010309,Springpfuhl,4265,29.6,118,"2,8",620,"17,0"
10010310,Alt-Marzahn,4882,26.7,258,"5,6",1138,"30,4"
10010311,Landsberger Tor,885,27.1,99,"12,6",123,"16,1"
100103,Marzahn-Süd,10495,27.5,494,"4,9",1930,"22,5"
10,Marzahn-Hellersdorf,51771,19.4,1875,"4,3",8095,"21,5"
,Berlin,k.A.,19.1,k.A.,k.A.,k.A.,k.A.
