name,wert
A4,9.3
A5,0.5
A6,64.2
A7,3.9
A8,1511
B1,13.6
B2,25.9
C1,66
C2,1.3
C3,0.6
D1,51.8
D2,7.9
D3,4.3
D4,19.7
D5,32.1
D6,4.4
E1,22.2
E2,14.5
E3,13.1
E5,54.5
E6,40.5
E8,3.9
